artist,song,genre,lyrics
Kizaru,Bad Blood,rap,"NA, Пацаны не обижайтесь, Я любяThat Be YG Woods, Hoe, Покажи мне, кто сказал: «Не в деньгах счастье» (Кто, бля?), Boy, ты сломан, твоя хата на запястье (On my wrist), Большой хер, money long — Mister Fantastic (Упс), Я как праздник — суки рвут меня на части (Погнали), Мама, прости, я злодей похуже Мориарти (Эй), Мой рэп без кепок, hoe, мне не понять их (You cappin'), Кокс в дипломате, я вырос на квадрате (On da block), Проблемы с мусорами? Не волнуйся, мы им платимУ тебя bad blood? Нет, ты просто блядь (Ты просто hoe), Иди тусуйся, с тебя нечего забрать (Broke boy), Столько ice'а, bitch, люди смотрят косо (Косоглазо), Много сосок, много кокса, nigg, я будто sosa (Chief Keef), Всё верно, парень, ты в первый раз увидел босса (Ага), Не подходи ко мне, ведь ты прислужник членососа (Ха-ха-ха), Все эти стэки рядом, я не сплю один, Они не могут дотянуться до меня, аминь, I get mad love, In the street, I'm never working with no bad plugs, In the street, they know my work, I got no bad blood, Getting money on that hustle cause I had to, yeah, They know I had the toughest money in the GoYard, She goes hard, lil' mama want that GoYard, Can't be soft in the streets, man it's so wild, I'm living large, so I bought a bowl of Bola, o-oh yeah, Living lovely in Miami, nigga, The type of money that I making, make it hard for me to understand these niggas, niggas, Do you understand me, nigga?, Said I came from the bottom so I can't be with the petty shit or fuckery 'cause, Нам не по пути, потому-что ты путана (Ты как шлюха), Я будто Gunna, горы нала сыпятся с кармана (Money rain), ФСБ — моя охрана, hoe, я вырос рано (Эй), В косяке марихуана, bitch, мы будто клан Сопрано (Мы братва), Сколько надо? Сколько граммов?, Не ссы, boy, всё нормально (Всё окей), Лучше убери своих детишек от экрана (Спящих), Соберитесь, парни, они снимают свои обзоры (Кому ты нужен, бля?), Найдите себе bitch, хватит дрочить, вы фантазеры (Они мечтают), Думают, что каждый из них по своему талантлив (Эй), Только факты, ты бы понял, если бы был догадлив (Ага), Дилетанты, симулянты, спекулянты (God damn), Это состав всей вашей сучьей фейк команды (Так точно), Я пикантный, на мне эти диаманты (Shout-out Mozi), Мы на улицах, здесь не дают гарантий (Что ты думал?), Они просроченный продукт, консервы в банке (Они воняют), Глубоко на дне забыли акваланги (О мой бог), Они так хейтят, bitch, я выхожу за рамки (Я вне игры), Пацаны теперь ведут себя как самки, Все эти стэки рядом, я не сплю один, Они не могут дотянуться до меня, аминь"
Kizaru,Plug,rap,"NA, That Be YG Woods, Hoe, (Plug), Куда лезет этот новичок, глянь? (Куда он лезет?), Ха, я ловлю их на крючок, дядь (Catch 'em all), Лучше прикуси свой язычок, дрянь, Прости, ты даже не поймёшь, о чём я (What I'm saying?), Что я могу поделать? Ты дурачок, бля (Он странный), Парни исчезают по щелчку, мать, Не смотри на них, они уже ждут морга (Им конец), Money talk, хватит меня вечно дёргать (Не прикасайся), Замолчи, nig, замолчи, У нас кирпичи, nig, кирпичи (What?), Только не кричи, nig, не кричи (Е), Лучше позвони мне (Call me), Потому что я твой... (Plug), Очень высоко, hoe, ты не достанешь (Бурдж-Халифа), Выдам в рот, даже если это Billie Eilish (Ха-ха-ха), У меня fishscale, у них всё тот же Vanish (Что за хейт?), Хочешь со мной тяпнуть, но ты вряд ли встанешь (Он умрёт), Новая шкура, новый кузов, привет СюзенПрости, ты не знала, детка, но я с Юза (Юго-запад), Много груза, damn, я будто с профсоюза (Goddamn-goddamn), Papi ruso, рано вылетел из ВУЗа, Чёрт возьми, я в марке (What?), где-то в лунапарке (Е), Столько дури, можно открыть супермаркет (Ага-ага), Парни на доставке (What?), вокруг аристократки (Let's go), Свои недостатки, сучки, я всегда в обсадкеТридцать карат мой перстень (Что?), Bitch, о да, yessirski (Yessirski), Ты же знал, я дерзкий, Почисти уши, bitch, ты мерзкий (Фу), Он надел обрезки, удачной, бля, поездки, Его мама такая: «Куда делись занавески?» (Отвечаю, они все странные, бля), Замолчи, nig, замолчи, У нас кирпичи, nig, кирпичи (Е), Только не кричи, nig, не кричи, Всё ровно, никаких задержекПотому что я твой... (Plug), Ты тратишь всё лавэ на дорогие луки (Купи квартиру), Двадцать тысяч евро — это прайс на букинг (Если не знал), Но это только полчаса, подлюки (30 минут), Вам надо столько же, чтоб заценить все трюки, Все эти boys — гадюки, пальну по ним с базуки (Пау-пау), Сплошные сплетни, можно умереть со скукиСтиль круче, чем у Бернера из Cookies (Чистый Gas), Они говорят, про то как много курят (Что ты куришь?), Вы потерялись в этом мире, играя в жмурки, Вам не хватает на пачку сигарет, придурки (Damn), Давай мне чек, я не говорю бесплатно (No way), Подхожу к своей работе деликатно, Нахуй красно-синие мигалки (Ты не знал, не), В детстве их обижали в раздевалке (Oh my God), Звони в любое время, я на связи (Они: «Как так?»), Успеваю везде, потому что я твой... (Plug), Замолчи, nig, замолчи, У нас кирпичи, nig, кирпичи (A lot of dope), Только не кричи, nig, не кричи, Ты же помнишь мои цифрыПотому что я твой... (Plug), You know what's going on, Когда я строю империю не приходи ко мне без материала и инструментов, G, Лучше позвони мнеПотому что я твой (Plug)"
Kizaru,Whistle Song,rap,"NA, That be YG Woods, hoe, Соберись парень, Step your game up, Сегодня я проснулся раноОни хотят говорить так же, звучать так же, Сучий boy, это о краже, не трогай наше (Е, оу, оу, у, а), Сегодня я проснулся рано, Они хотят говорить так же, звучать так же, Сучий boy, это о краже, не трогай наше (Е, а, у, у, а), Я редкий персонаж, ещё я режу эти пейзажи (What?), Skrrt-skrrt-skrrt скольжу высший пилотаж, Fuck, what you say, я на следующий этаж, Я твой coach поздравляю, твой первый инструктаж, Музыка мой допинг, каждый день шоппинг, Мне не нужен choppa, что бы вас всех шлёпнуть, Вы живете в трёпе, неисповедимы тропы, Нахер телескоп, я так вас вижу, вы, бля, копы, Бесподобен (Бесподобен), я выпил опий (Я выпил Опий), Есть опыт, хочешь обыск, ты галимый опер (Лин), Я способный, каждый drop в топе (Ага-а), Обыщи других, я никогда не видел столько копий (Опознали), Они смотрят (Что?), мне всё равно, Они все так много говорят, мне всё равно (Мне всё равно), Кто-что там выпустил (Я не знаю), мне всё равно, Просто Let it go сучка, просто Let it go, Пару пташек, пару стриптизер-монашек (У), Purrp в чаше, смотри как я раздавлю этих букашек (Slatt), Вагон dope'а, ящик henny, Никаких промашек, manny, Курнуть со мной, тебе не хватит всех бумажек на этой планете, Нет ты мне не bro (Bro), ты скорее всего hoe (Hoe), Ты стучишь Five-O (Five-O), nigga у меня есть соус (Соус), Я варил его, пока ты ещё где-то ползал, Мать его, тот белый настоящий виртуоз (Е-е-е-е)"
Larray,Canceled,pop,"(Internet Money, bitch), Let's start off with Bryce Hall, yeah, he got some smelly balls, Bitch, I only know his name, 'cause Addison gave him fame, Now, moving on to sister, I think I'm bout to diss her, That ass is looking thicker but forehead getting bigger, Oh, Jeffree Star says nig—Up next is this boy named Noah, Mr. thick neck bitch, uh, Ain't nobody know her, Now, I see why Dixie chose him, he hit different'Cause he got a bigger Peter, ain't that right Griffin?, Nikita wanna be the same shade as Lupita (Oop), Tony locked up for tryna bag a señorita, Shane Dawson got a cat, hold on, someone call PETA (PETA), PETA (PETA), PETA (PETA), PETA, PETA, PETA, uh, This you? This you? This you, this you, this you? (You), Tana gets canceled every five to seven business days (Uh), She finds a way to fuck up every different way (Bitch), She dated Jake, ""She dated Jake?"", Hold on, hold on, hold on, hold on, Can we change the beat?, This ain't a race but I still take first place, This ain't a race but I—, This ain't a race, Tony Lopez caught a case (Bitch), Nessa sharted all up on Josh's face (Face), Pretty bitch, itty bitty, tiny waist (Mwah), Don't want the smoke but Charli had that vape (Vape), Thomas, I can tell your breath stank (Yuck), Don't got the hype because when Charli left, y'all tanked (Mwah), Hype house reeks (Ew), they smell like feet (Y'all stank), I got that WAP and I make your ship sink (Boom), Tati forty and complaining about some vitamins (Grow up), You don't like James, so why the hell did you invite him in? (Bye), Bryce and Josh tried to bully little Chase (Y'all weird), Y'all makin' diss tracks, let me put you in your place, I thought a bitch with a wetzel-pretzel said sum' (Oops), I thought a bitch who sold his life to Triller said sum' (Oops), I thought a bitch who lost the baddest bitch said sum' (Sum'), E' and Gray unfollowed me so they got blocked (They're fake), And after Sister Squad, their channel went and flopped (Sorry), I'ma hit a lick on David Dobrik, Rob his shit, take his Tesla, then I floor it (It), This ain't a race, Tony Lopez caught a case (Bitch), Nessa sharted all up on Josh's face (Face), Pretty bitch, itty bitty, tiny waist (Mwah), Don't want the smoke but Charli had that vape (Vape), This ain't a race, Tony Lopez caught a case (Bitch), Nessa sharted all up on Josh's face (Face), Pretty bitch, itty bitty, tiny waist (Mwah), Don't want the smoke but Charli had that vape (Vape)"
Larray,Canceled,rap,"(Internet Money, bitch), Let's start off with Bryce Hall, yeah, he got some smelly balls, Bitch, I only know his name, 'cause Addison gave him fame, Now, moving on to sister, I think I'm bout to diss her, That ass is looking thicker but forehead getting bigger, Oh, Jeffree Star says nig—Up next is this boy named Noah, Mr. thick neck bitch, uh, Ain't nobody know her, Now, I see why Dixie chose him, he hit different'Cause he got a bigger Peter, ain't that right Griffin?, Nikita wanna be the same shade as Lupita (Oop), Tony locked up for tryna bag a señorita, Shane Dawson got a cat, hold on, someone call PETA (PETA), PETA (PETA), PETA (PETA), PETA, PETA, PETA, uh, This you? This you? This you, this you, this you? (You), Tana gets canceled every five to seven business days (Uh), She finds a way to fuck up every different way (Bitch), She dated Jake, ""She dated Jake?"", Hold on, hold on, hold on, hold on, Can we change the beat?, This ain't a race but I still take first place, This ain't a race but I—, This ain't a race, Tony Lopez caught a case (Bitch), Nessa sharted all up on Josh's face (Face), Pretty bitch, itty bitty, tiny waist (Mwah), Don't want the smoke but Charli had that vape (Vape), Thomas, I can tell your breath stank (Yuck), Don't got the hype because when Charli left, y'all tanked (Mwah), Hype house reeks (Ew), they smell like feet (Y'all stank), I got that WAP and I make your ship sink (Boom), Tati forty and complaining about some vitamins (Grow up), You don't like James, so why the hell did you invite him in? (Bye), Bryce and Josh tried to bully little Chase (Y'all weird), Y'all makin' diss tracks, let me put you in your place, I thought a bitch with a wetzel-pretzel said sum' (Oops), I thought a bitch who sold his life to Triller said sum' (Oops), I thought a bitch who lost the baddest bitch said sum' (Sum'), E' and Gray unfollowed me so they got blocked (They're fake), And after Sister Squad, their channel went and flopped (Sorry), I'ma hit a lick on David Dobrik, Rob his shit, take his Tesla, then I floor it (It), This ain't a race, Tony Lopez caught a case (Bitch), Nessa sharted all up on Josh's face (Face), Pretty bitch, itty bitty, tiny waist (Mwah), Don't want the smoke but Charli had that vape (Vape), This ain't a race, Tony Lopez caught a case (Bitch), Nessa sharted all up on Josh's face (Face), Pretty bitch, itty bitty, tiny waist (Mwah), Don't want the smoke but Charli had that vape (Vape)"
Led Zeppelin,Stairway to Heaven,rock,"NA, There's a lady who's sure all that glitters is gold, And she's buying a stairway to Heaven, When she gets there she knows, if the stores are all closed, With a word she can get what she came for, Ooh, ooh, and she's buying a stairway to Heaven, There's a sign on the wall, but she wants to be sure, 'Cause you know sometimes words have two meanings, In a tree by the brook, there's a songbird who sings, Sometimes all of our thoughts are misgiven, Ooh, makes me wonder, Ooh, makes me wonder, There's a feeling I get when I look to the west, And my spirit is crying for leaving, In my thoughts I have seen rings of smoke through the trees, And the voices of those who stand looking, Ooh, it makes me wonder, Ooh, really makes me wonder, And it's whispered that soon if we all call the tune, Then the piper will lead us to reason, And a new day will dawn for those who stand long, And the forests will echo with laughter, Oh-oh-oh-oh-woahhh, If there's a bustle in your hedgerow, don't be alarmed, now, It's just a spring clean for the May queen, Yes, there are two paths you can go by, but in the long run, There's still time to change the road you're on, And it makes me wonder, Ohh, woah, Your head is humming and it won't go, in case you don't know, The piper's calling you to join him, Dear lady, can you hear the wind blow? And did you know, Your stairway lies on the whispering wind?, NA, And as we wind on down the road, Our shadows taller than our soul, There walks a lady we all know, Who shines white light and wants to show, How everything still turns to gold, And if you listen very hard, The tune will come to you at last, When all are one and one is all, To be a rock and not to roll, And she's buying a stairway to Heaven"
Leonard Cohen,Hallelujah,rock,"Now I've heard there was a secret chord, That David played, and it pleased the Lord, But you don't really care for music, do ya?, It goes like this, the fourth, the fifth, The minor fall, the major lift, The baffled king composing ""Hallelujah"", Hallelujah, Hallelujah, Hallelujah, Hallelujah, Your faith was strong but you needed proof, You saw her bathing on the roof, Her beauty and the moonlight overthrew ya, She tied you to a kitchen chair, She broke your throne, and she cut your hair, And from your lips she drew the Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, You say I took the name in vain, I don't even know the name, But if I did, well really, what's it to ya?, There's a blaze of light in every word, It doesn't matter which you heard, The holy or the broken Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, I did my best, it wasn't much, I couldn't feel, so I tried to touch, I've told the truth, I didn't come to fool ya, And even though it all went wrong, I'll stand before the lord of song, With nothing on my tongue but hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Hallelujah, Baby, I've been here before, I know this room, I've walked this floor, I used to live alone before I knew you, And I've seen your flag on the marble arch, Love is not a victory march, It's a cold and it's a broken Hallelujah, There was a time you let me know, What's really going on below, But now you never show it to me, do you?, And remember when I moved in you, The holy dove was moving too, And every breath we drew was Hallelujah, Maybe there's a God above, But all I've ever learned from love, Was how to shoot at someone who outdrew you, And it's not a cry that you hear at night, It's not somebody who's seen the light, It's a cold and it's a broken Hallelujah"
Lil Nas X,HOLIDAY,rap,"T-T-Tay Keith, Took it to ten (Hey), Ayy, it's a holiday, I got hoes on hoes and they out of control, yeah, Ayy, it's another one, All my niggas on go and I hope that you know it, I can't even close my eyes, And I don't know why, guess I don't like surprises, I can't even stay away from the game that I play, They gon' know us today, yeah, Ayy, can I pop shit? (Pop, pop, pop), I might bottom on the low, but I top shit (But I top shit), Switch the genre on you hoes, do a rock hit (Mmm), I got the biggest damn song, fuck the charts, sis, I don't need 'em, They wanna know if I'll be lastin'Bitch, even if I started floppin', there'd be fashion, Poppin' up in movies, ain't no Nasy, bitch, it's Ashton, Hee, hee, I'm bad as Michael Jackson, Dun, dun, dun, Ayy, it's a holiday, I got hoes on hoes and they out of control, yeah, Ayy, it's another one, All my niggas on go and I hope that you know it, I can't even close my eyes, And I don't know why, guess I don't like surprises, I can't even stay away from the game that I play, They gon' know us today, yeah, Man, I snuck into the game, came in on a horse, I pulled a gimmick, I admit it, I got no remorse, Nobody tried to let me in, nobody opened doors, I kicked them motherfuckers down, they didn't have a choice, Dun, dun, dun, They tried to next me, ayy, but I'm blessed, see, Ayy, no flex, but my checks givin' vet tease, Ayy, and I'm sexy, they wanna sex me, Pop star, but the rappers still respect me, They wanna know if I'll be lastin'Bitch, even if I started floppin', there'd be fashion, Poppin' up in movies, ain't no Nasy, bitch, it's Ashton, Hee, hee, I'm bad as Michael Jackson, Dun, dun, dun, Ayy, it's a holiday, I got hoes on hoes and they out of control, yeah, Ayy, it's another one, All my niggas on go and I hope that you know it, I can't even close my eyes, And I don't know why, guess I don't like surprises, I can't even stay away from the game that I play, They gon' know us today, yeah, Tay Keith, fuck these niggas up, Daytrip took it to ten (Hey)"
Lil Peep,Save That Shit,rock,"Fuck my life, can't save that, girl, Don't tell me you could save that shit, All she want is payback for the way I always play that shit, You ain't gettin' nothin' that I'm sayin', Don't tell me you is, Nothin' like them other motherfuckers, I can make you rich (I can make you rich), I can make you this, baby, I can make you that, I can take you there, but baby, you won't make it back, Growing sick of this and I don't wanna make you sad, Do I make you scared? Baby, won't you take me back?, Nothin' like them other motherfuckers, I can make you rich (I can make you rich), Nothin' like them other motherfuckers, I can make you rich (I can make you rich), Fuck my life, can't save that, girl, Don't tell me you could save that shit, All she want is payback for the way I always play that shit, You ain't gettin' nothin' that I'm sayin', Don't tell me you is, Nothin' like them other motherfuckers, I can make you rich (Make you rich), I can make you this, baby, I can make you that, I can take you there, but baby, you won't make it back, Growing sick of this and I don't wanna make you sad, Do I make you scared? Baby, won't you take me back?, (Do I make you scared?), Down another lonely road, I go, Just another lonely road to home, I just wanna know, I just gotta know, Do you wanna glo? Baby, we could glo, Fuck my life, can't save that, girl, Don't tell me you could save that shit, All she want is payback for the way I always play that shit, You ain't gettin' nothin' that I'm sayin', Don't tell me you is, Nothin' like them other motherfuckers, I can make you rich (I can make you rich), I can make you this, baby, I can make you that, I can take you there, but baby, you won't make it back, Growing sick of this and I don't wanna make you sad, Do I make you scared? Baby, won't you take me back?, Do I make you scared? Baby, won't you take me back?, Nothin' like them other mothafuckas', I can make you rich (I can make you rich)"
Lil Tjay,Move On,rap,"Lil Tjay (Oh my God, is that Avery?) (Ohh), Yeah, uh, uh (Yeah), Oh-oh, oh, yeah (Oh-oh), yeah (Oh), oh, Back when I met you I thought you were special, Something 'bout you, just couldn't forget you, Swear to God, I regret how you played me, Can't believe I was me and I let you, Bet you gon' miss all them nights when I sexed you, Bet you gon' miss when I'm hard to get next to, Bet you gon' miss all them roses and petals, Where you gon' look when you ready to settle?, Nevеr my way, lil' shorty, I'm gone, This ain't gon' work, we ain't gettin' along, I can't sit right with you doing mе wrong, I know it's gon' hurt when you hear this song, 'Cause you've been playing games, And I been feeling strange, Girl, I don't want you to think I wanna change, I will move on, move on, move on, Don't make me move on, move on, move on, oh (Yeah), Move on, move on, move on, Don't make me move on, move on, move on, Oh, I gotta go, 2020 now, you should see I'm changin' shit (Yeah), Growin' up and I'm the man, yeah, To these bands, ain't got time to change a bitch (Yeah), I think I want me a Bentley, foreign car just to change the whip (Yeah), They like, ""Tjay, you different,"" I tell 'em, I know (Yeah, yeah, yeah), I'm focused on changin' shit, Focused, ain't playin no games with this, Car cruise, I got lane assist, Hop in the stu' (Yeah), and start flamin' shit, Got out them trenches, they dangerous, they dangerous, no, I was gon' ride for you, and it would be too much just to lie to you, So, I'ma just keep it a buck, you're out of luck if you think me sayin' I'm goin' is a bluff (Yeah, yeah, yeah), I'ma leave, sit down, sit and breathe, I need your bad energy apart from me, I know Smelly up guarding me, Somethin' told me you ain't smart for me, no, Back when I met you I thought you were special, Something 'bout you, just couldn't forget you, Swear to God, I regret how you played me, Can't believe I was me and I let you, Bet you gon' miss all them nights when I sexed you, Bet you gon' miss when I'm hard to get next to, Bet you gon' miss all those roses and petals, Where you gon' look when you ready to settle?, Never my way, little shorty I'm gone, This ain't gon' work, we ain't gettin' along, I can't sit right with you doing me wrong, I know it's gon' hurt when you hear this song, 'Cause you've been playing games, And I been feeling strange, Girl, I don't want you to think I wanna change, I will move on, move on, move on (Oh), Don't make me move on, move on, move on, oh (Yeah), Move on, move on, move on, Don't make me move on, move on, move on, oh (Yeah), Move on, move on, on, Move on, move on, on, Move on, move on, move on, move on, move on, move on, Oh-oh, oh-oh, Uh, uh, oh-woah-oh, Oh, woah, oh-woah-woah, oh"
Linkin Park,In the End,rock,"(It starts with one) One thing, I don't know why, It doesn't even matter how hard you try, Keep that in mind, I designed this rhyme, To explain in due time all I know, Time is a valuable thing, Watch it fly by as the pendulum swings, Watch it count down to the end of the day, The clock ticks life away, it's so unreal (It's so unreal), Didn't look out below, Watch the time go right out the window, Tryin' to hold on, didn't even know, I wasted it all just to watch you go, I kept everything inside, And even though I tried, it all fell apart, What it meant to me will eventually be, A memory of a time when I tried so hard, I tried so hard and got so far, But in the end it doesn't even matter, I had to fall to lose it all, But in the end it doesn't even matter, One thing, I don't know why, It doesn't even matter how hard you try, Keep that in mind, I designed this rhyme, To remind myself how I tried so hard, In spite of the way you were mockin' me, Actin' like I was part of your property, Rememberin' all the times you fought with me, I'm surprised it got so far, Things aren't the way they were before, You wouldn't even recognize me anymore, Not that you knew me back then, But it all comes back to me in the end, You kept everything inside, And even though I tried, it all fell apart, What it meant to me will eventually be, A memory of a time when I tried so hard, I tried so hard and got so far, But in the end it doesn't even matter, I had to fall to lose it all, But in the end it doesn't even matter, I've put my trust in you, Pushed as far as I can go, For all this, There's only one thing you should know, I've put my trust in you, Pushed as far as I can go, For all this, There's only one thing you should know, I tried so hard and got so far, But in the end it doesn't even matter, I had to fall to lose it all, But in the end it doesn't even matter"
Linkin Park,Numb,rock,"I'm tired of being what you want me to be, Feeling so faithless, lost under the surface, I don't know what you're expecting of me, Put under the pressure of walking in your shoes, Caught in the undertow, just caught in the undertow, Every step that I take is another mistake to you, Caught in the undertow, just caught in the undertow, I've become so numb, I can't feel you there, Become so tired, so much more aware, I'm becoming this, all I want to do, Is be more like me and be less like you, Can't you see that you're smothering me?, Holding too tightly, afraid to lose control'Cause everything that you thought I would be, Has fallen apart, right in front of you, Caught in the undertow, just caught in the undertow, Every step that I take is another mistake to you, Caught in the undertow, just caught in the undertow, And every second I waste is more than I can take, I've become so numb, I can't feel you there, Become so tired, so much more aware, I'm becoming this, all I want to do, Is be more like me and be less like you, And I know I may end up failing, too, But I know you were just like me, With someone disappointed in you, I've become so numb, I can't feel you there, Become so tired, so much more aware, I'm becoming this, all I want to do, Is be more like me and be less like you, I've become so numb, I can't feel you there, I'm tired of being what you want me to be, I've become so numb, I can't feel you there, I'm tired of being what you want me to be"
Little Mix,A Mess (Happy 4 You),pop,"No bad blood but we don't speak, It's been a hundred fifty days or twenty-one weeks, Woah-oh, Who's countin'? Oh, I saw you holdin' hands on New Bond Street, She in the same cute tee that you bought me, Oh-woah-oh, She rockin' it though, And you know I'd be lyin' if I said I don't feel nothin' at all, oh-oh, I've been tryna be the bigger person, But it's hard when I've been feelin' so small, And nobody knows, I'm still a mess, oh, since you left, If I can't be happy, happy with you, I'll be happy, happy for you, I guess no hard feelings, ‘Cause loves looking good on you, You're happy, I'm happy, I'm happy for you, We fine, yeah, yeah, yeah, yeah, Got my peace sign in the air, yeah, yeah, Baby, we fine, yeah, yeah, yeah, yeah, If you're happy, I'm happy, I'm happy for you, Don't wanna be sour, but it's bittersweet, A bad taste in my mouth ‘cause you're over me, Oh-woah-oh, Time to let go, Please don't say hi, I don't wanna be rude, She seems so sweet and I'm tryna be cool, Woah-oh-oh, Hold tight, I'm not brokenhearted, And you know I'd be lyin' if I said I don't feel nothin' at all, And I, I'm gon' get my drip, gon' fix my makeup, Ain't got time for bein' emotional, And nobody knows, I'm still a mess, oh, since you left (Since you left), If I can't be happy, happy with you, I'll be happy, happy for you, I guess no hard feelings (Yeah, yeah), ‘Cause love's looking good on you, If you're happy, I'm happy, I'm happy for you, We fine, yeah, yeah, yeah, yeah, Got my peace sign in the air, yeah, yeah, Baby, we fine, yeah, yeah, yeah, yeah, If you're happy, I'm happy, I'm happy for you, Check, check, check, check, Check-check myself when I see you walkin' by, Check-check myself, don't wanna look into your eyes, Protect myself, ‘cause the feeling's never lie, Check, check, check, check, Check-check myself when I see you walkin' by, Check-check myself, don't wanna look into your eyes, Protect myself, ‘cause the feelings never lie, We fine, yeah, yeah, yeah, yeah, Got my peace sign in the air, yeah, yeah (Oh), Baby, we fine, yeah, yeah, yeah, yeah, If you're happy, I'm happy, I'm happy for you, For you, woah, I'm still a mess (I'm still a mess), oh, since you left (Since you left), If I can't be happy, happy with you (Oh), I'll be happy, happy for you (Oh), I guess (I guess) no hard feelings (No hard feelings), ‘Cause love looks so good on you, If you're happy, I'm happy, I'm happy for you (Oh-woah), We fine, yeah, yeah, yeah, yeah, Got my peace sign in the air, yeah, yeah (Oh-oh-oh), Baby, we fine, yeah, yeah, yeah, yeah, If you're happy, I'm happy, I'm happy for you, I'm happy for you, We fine, yeah, yeah, yeah, yeah (Happy for you), Got my peace sign in the air, yeah, yeah (Yeah), Baby, we fine, yeah, yeah, yeah, yeah, If you're happy, I'm happy, I'm happy for you"
Little Mix,Confetti,pop,"We wanna celebrate like we in the club every day, Got all my friends here with me, And I don't need ya, I don't need ya, Got this dress up on me, So I don't need your stress up on me, Baby, we're done, c'est la vie, Now I don't need ya, I don't need ya, Should've left your ass from time ago, Didn't love me then, but now I do, I used to sit at home and cry for you, Diamonds on my neck, I shine for you, Ain't blocking my blessings anymore, Never be the girl I was before, I'ma let the good things in my lifе rain down, From the sky, drop like confetti, All еyes on me, so V.I.P, All of my dreams, from the sky, drop like confetti, Drop it down, You're missin' me, but I'm finally free, I got what I need, so let it rain down like confetti, Flashing lights, I ain't got no worry on my mind, Know that you're mad, I realised, That I don't need ya, I don't need ya, So, DJ, say my name like it's my birthday, You're just a memory, And, boy, I don't need ya, I don't need ya, Should've left your ass from time ago (Time ago), Didn't love me then, but now I do (Now I do), I'ma let the good things in my life rain down, From the sky, drop like confetti, All eyes on me (On me, yeah), so V.I.P, All of my dreams, from the sky, drop like confetti (Woah), (Drop it down), You're missin' me, but I'm finally free (Finally free), I got what I need, so let it rain down like confetti, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), 'Cause (I, I, I) I'm gon' live my life, Can't kill my vibe, I'm doin' so much better, I, (I'm so good tonight) I'm so good tonight, (Good things in my life), So I'ma let the good things in my life rain down, From the sky, drop like confetti (Yeah), All eyes on me, so V.I.P, All of my dreams, from the sky, drop like confetti (All of my dreams), You're missin' me, but I'm finally free (I'm finally free), I got what I need (I've got what I need), so let it rain down like confetti, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), Let it rain"
Little Mix,Confetti,r&b,"We wanna celebrate like we in the club every day, Got all my friends here with me, And I don't need ya, I don't need ya, Got this dress up on me, So I don't need your stress up on me, Baby, we're done, c'est la vie, Now I don't need ya, I don't need ya, Should've left your ass from time ago, Didn't love me then, but now I do, I used to sit at home and cry for you, Diamonds on my neck, I shine for you, Ain't blocking my blessings anymore, Never be the girl I was before, I'ma let the good things in my lifе rain down, From the sky, drop like confetti, All еyes on me, so V.I.P, All of my dreams, from the sky, drop like confetti, Drop it down, You're missin' me, but I'm finally free, I got what I need, so let it rain down like confetti, Flashing lights, I ain't got no worry on my mind, Know that you're mad, I realised, That I don't need ya, I don't need ya, So, DJ, say my name like it's my birthday, You're just a memory, And, boy, I don't need ya, I don't need ya, Should've left your ass from time ago (Time ago), Didn't love me then, but now I do (Now I do), I'ma let the good things in my life rain down, From the sky, drop like confetti, All eyes on me (On me, yeah), so V.I.P, All of my dreams, from the sky, drop like confetti (Woah), (Drop it down), You're missin' me, but I'm finally free (Finally free), I got what I need, so let it rain down like confetti, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), 'Cause (I, I, I) I'm gon' live my life, Can't kill my vibe, I'm doin' so much better, I, (I'm so good tonight) I'm so good tonight, (Good things in my life), So I'ma let the good things in my life rain down, From the sky, drop like confetti (Yeah), All eyes on me, so V.I.P, All of my dreams, from the sky, drop like confetti (All of my dreams), You're missin' me, but I'm finally free (I'm finally free), I got what I need (I've got what I need), so let it rain down like confetti, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), Let it rain down, (Oh, la-la-la), Let it rain"
